Date,Treasury ETF,Technology ETF,Gold,Global Bank ETF,E MER ETF
2023-01-01,0.0315,0.1017,0.0554,0.046900000000000004,0.076
2023-02-01,-0.04190000000000001,-0.003,-0.0545,-0.0212,-0.0672
2023-03-01,0.0276,0.0908,0.0751,0.102,0.024700000000000003
2023-04-01,-0.0192,0.003,0.0109,0.0392,0.006
2023-05-01,-0.0325,0.0742,-0.0161,-0.036699999999999997,-0.0202
2023-06-01,-0.0141,0.0639,-0.0253,0.0723,0.0296
2023-07-01,-0.008,0.0373,0.024700000000000003,0.044000000000000004,0.0583
2023-08-01,-0.053399999999999996,-0.0222,-0.0131,-0.0377,-0.064
2023-09-01,-0.0629,-0.052300000000000006,-0.0481,-0.0315,-0.0253
2023-10-01,-0.0387,-0.028399999999999998,0.0658,-0.0492,-0.0408
2023-11-01,0.08710000000000001,0.10439999999999999,0.024700000000000003,0.11779999999999999,0.0751
2023-12-01,0.0315,0.0535,0.0109,0.0383,0.04019999999999999
2024-01-01,-0.0346,0.0178,-0.0111,0.0159,-0.0492
2024-02-01,-0.0212,0.0526,0.024700000000000003,0.049699999999999994,0.045899999999999996
2024-03-01,0.008,0.0149,0.0862,0.0421,0.0276
2024-04-01,-0.0429,-0.0471,0.0276,-0.028399999999999998,-0.050199999999999995
2024-05-01,0.018799999999999997,0.0592,0.0178,0.0344,0.0286
2024-06-01,0.0139,0.0602,0.0421,0.011899999999999999,0.0373
2024-07-01,0.046900000000000004,-0.0171,0.04019999999999999,0.0564,0.0129
2024-08-01,0.0208,0.0149,0.0325,-0.0212,0.0178
2024-09-01,0.025699999999999997,0.0276,0.049699999999999994,0.0334,0.0658
2024-10-01,-0.0387,-0.005,-0.0336,0.0315,-0.046
2024-11-01,-0.0325,0.0545,-0.0356,0.0751,-0.0377
2024-12-01,-0.024300000000000002,-0.0212,-0.008,-0.009000000000000001,0.0169
